docs,query,operator_type,memory_latency_ms,memory_latency_ci_low_ms,memory_latency_ci_high_ms,mmap_latency_ms,mmap_latency_ci_low_ms,mmap_latency_ci_high_ms,mmap_to_memory_ratio,memory_hits,mmap_hits,results_equal
25000,(five OR less) AND south,COMPLEX,2.9810,2.8940,3.0680,13.9686,13.8992,14.0380,4.6859,6217,6217,true
25000,(five OR making) AND NOT original,COMPLEX,1.9786,1.9079,2.0493,11.2066,11.1122,11.3010,5.6639,6567,6567,true
25000,(five OR making) AND original,COMPLEX,2.7418,2.6565,2.8271,11.9118,11.8465,11.9771,4.3445,6026,6026,true
25000,(five OR named) AND NOT included,COMPLEX,2.0932,2.0539,2.1325,11.7376,11.6142,11.8610,5.6075,6278,6278,true
25000,(five OR named) AND included,COMPLEX,2.9092,2.8012,3.0172,31.2442,8.0016,54.4868,10.7398,6795,6795,true
25000,(five OR north) AND NOT third,COMPLEX,2.4528,2.4336,2.4720,12.9592,12.6152,13.3032,5.2834,6561,6561,true
25000,(five OR north) AND third,COMPLEX,3.1370,2.9759,3.2981,13.6980,13.5295,13.8665,4.3666,6532,6532,true
25000,(five OR point) AND NOT north,COMPLEX,2.0532,2.0189,2.0875,12.5294,12.2090,12.8498,6.1024,6628,6628,true
25000,(five OR point) AND north,COMPLEX,2.9282,2.8697,2.9867,13.6796,13.6329,13.7263,4.6717,6422,6422,true
25000,(five OR public) AND NOT less,COMPLEX,2.1612,2.1152,2.2072,12.2410,12.1601,12.3219,5.6640,6631,6631,true
25000,(five OR public) AND less,COMPLEX,2.8366,2.7368,2.9364,12.9470,12.9259,12.9681,4.5643,6086,6086,true
25000,(five OR result) AND NOT important,COMPLEX,2.0320,1.9920,2.0720,11.3618,11.2303,11.4933,5.5914,6469,6469,true
25000,(five OR result) AND important,COMPLEX,2.5842,2.5419,2.6265,12.0366,12.0005,12.0727,4.6578,6527,6527,true
25000,(five OR series) AND NOT caption,COMPLEX,2.2504,2.1949,2.3059,11.4240,11.3245,11.5235,5.0764,6996,6996,true
25000,(five OR series) AND caption,COMPLEX,2.6574,2.5859,2.7289,11.9716,11.8582,12.0850,4.5050,6018,6018,true
25000,(five OR single) AND NOT public,COMPLEX,2.0756,2.0254,2.1258,12.3638,12.2738,12.4538,5.9567,6804,6804,true
25000,(five OR single) AND public,COMPLEX,2.8786,2.7901,2.9671,13.3944,13.0036,13.7852,4.6531,6364,6364,true
25000,(five OR south) AND NOT point,COMPLEX,2.7594,2.4576,3.0612,13.8344,12.8227,14.8461,5.0136,7068,7068,true
25000,(five OR south) AND point,COMPLEX,3.3120,3.0347,3.5893,14.2866,14.1386,14.4346,4.3136,6012,6012,true
25000,(five OR third) AND NOT country,COMPLEX,2.0964,2.0608,2.1320,12.4466,12.3496,12.5436,5.9371,6402,6402,true
25000,(five OR third) AND country,COMPLEX,3.2882,3.2439,3.3325,38.7554,14.2467,63.2641,11.7862,6147,6147,true
25000,(five OR thus) AND NOT established,COMPLEX,2.1844,2.1165,2.2523,12.0006,11.7600,12.2412,5.4938,6847,6847,true
25000,(five OR thus) AND established,COMPLEX,2.8098,2.6514,2.9682,12.6360,12.4059,12.8661,4.4971,6391,6391,true
25000,(women OR female) AND scientists,COMPLEX,1.2246,1.1812,1.2680,6.7858,6.3962,7.1754,5.5412,820,820,true
25000,(women OR feminism) AND rights,COMPLEX,1.1506,1.0250,1.2762,6.6838,6.2734,7.0942,5.8090,2257,2257,true
25000,women NEAR/3 rights AND NOT men,COMPLEX,0.4022,0.3745,0.4299,7.9680,7.8703,8.0657,19.8110,134,135,false
25000,17th NEAR/3 century,NEAR/3,0.7028,0.6772,0.7284,9.0242,8.6143,9.4341,12.8404,2058,2058,true
25000,18th NEAR/3 century,NEAR/3,0.7920,0.7815,0.8025,9.0550,8.9995,9.1105,11.4331,2533,2533,true
25000,19th NEAR/3 century,NEAR/3,1.2438,1.2138,1.2738,10.3684,10.1483,10.5885,8.3361,4859,4859,true
25000,20th NEAR/3 century,NEAR/3,1.3318,1.3149,1.3487,10.8528,10.6854,11.0202,8.1490,5942,5942,true
25000,21st NEAR/3 century,NEAR/3,0.6572,0.6142,0.7002,8.8270,8.7376,8.9164,13.4312,2322,2322,true
25000,align NEAR/3 center,NEAR/3,3.5450,3.4331,3.6569,13.7042,13.4812,13.9272,3.8658,2956,2956,true
25000,best NEAR/3 known,NEAR/3,0.6766,0.6556,0.6976,10.7654,10.6360,10.8948,15.9110,2044,2044,true
25000,birth NEAR/3 date,NEAR/3,0.6052,0.5672,0.6432,6.8220,6.7365,6.9075,11.2723,3494,3494,true
25000,birth NEAR/3 name,NEAR/3,0.5006,0.4812,0.5200,8.6922,8.5323,8.8521,17.3636,2165,2165,true
25000,birth NEAR/3 place,NEAR/3,0.6780,0.5118,0.8442,7.3842,7.2694,7.4990,10.8912,3405,3405,true
25000,births NEAR/3 category,NEAR/3,0.7998,0.7529,0.8467,11.1002,11.0252,11.1752,13.8787,3602,3602,true
25000,category NEAR/3 people,NEAR/3,2.1148,2.0632,2.1664,17.3694,17.2462,17.4926,8.2133,3394,3394,true
25000,class NEAR/3 wikitable,NEAR/3,0.8128,0.7934,0.8322,7.5742,7.5444,7.6040,9.3187,5852,5852,true
25000,date NEAR/3 birth,NEAR/3,0.6102,0.5867,0.6337,6.7236,6.6658,6.7814,11.0187,3494,3494,true
25000,date NEAR/3 death,NEAR/3,0.7412,0.6774,0.8050,8.6086,8.5373,8.6799,11.6144,3033,3033,true
25000,death NEAR/3 date,NEAR/3,0.7542,0.7034,0.8050,8.6250,8.5867,8.6633,11.4360,3033,3033,true
25000,death NEAR/3 place,NEAR/3,0.8270,0.7737,0.8803,9.1650,9.0950,9.2350,11.0822,2940,2940,true
25000,deaths NEAR/3 category,NEAR/3,0.8490,0.7933,0.9047,11.5308,11.4651,11.5965,13.5816,3085,3085,true
25000,each NEAR/3 other,NEAR/3,1.5568,1.5399,1.5737,17.2574,17.1605,17.3543,11.0852,3958,3958,true
25000,even NEAR/3 though,NEAR/3,0.6508,0.6185,0.6831,8.1212,8.0961,8.1463,12.4788,2308,2308,true
25000,female NEAR/3 scientists,NEAR/3,0.0904,0.0770,0.1038,3.1604,3.0240,3.2968,34.9602,7,7,true
25000,first NEAR/3 time,NEAR/3,2.5428,2.5108,2.5748,22.7470,22.6262,22.8678,8.9457,3959,3959,true
